NO,latitude,longitude,NAMA,KALURAHAN,KAPANEWON,DPD,KATEGORI,JENIS WISATA,JENIS WISATA FINAL,compile,Kabupaten
188,-7.951642,110.365034,Opak Zoo,Srihardono,Pundong,DPD - Pancer Bumi,Wisata Maju,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
189,-7.8276853,110.3606533,Panggung Krapyak,Panggungharjo,Sewon,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
190,-7.972901,110.318074,Pasar Angkruksari,Donotirto,Kretek,DPD - Segoro Kidul,Wisata Maju,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
191,-7.916934,110.400068,Pasar Jolontoro,Wukirsari,Imogiri,DPD - Songgo Langit,Wisata Berkembang,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
192,-7.836298,110.457575,Pasar Kebon Empring,Srimulyo,Piyungan,DPD - Songgo Langit,Wisata Maju,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
193,-7.987643,110.267393,Pasar Opo,Gadingharjo,Sanden,DPD - Segoro Kidul,Wisata Berkembang,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
194,-7.876761,110.349959,Pasar Seni Gabusan,Timbulharjo,Sewon,DPD - Songgo Negoro,Wisata Maju,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
195,-7.919874,110.407379,Pasar Tradisional Sor Jati,Wukirsari,Imogiri,DPD - Songgo Langit,Wisata Berkembang,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
196,-7.813533,110.335666,Petilasan Ambarbinangun,Tirtonirmolo,Kasihan,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
197,-7.803019,110.25984,Rumah Dinas Stasiun Sedayu,Argosari,Sedayu,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
198,-7.935361,110.35968,Rumah Tradisional Milik Dwiningsih Sri Rahayu,Canden,Jetis,DPD - Pancer Bumi,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
199,-7.899845,110.277954,Rumah Tradisional Milik Mardi Utomo,Sendangsari,Pajangan,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
200,-7.997435,110.289465,Rumah Tradisional Milik Parto Sukardjo,Tirtohargo,Kretek,DPD - Segoro Kidul,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
201,-7.928818,110.38966,Rumah Tradisional Milik Sri Hartinah,Girirejo,Imogiri,DPD - Songgo Langit,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
202,-7.946223,110.426583,Selopamioro Adventure Park,Selopamioro,Imogiri,DPD - Songgo Langit,Wisata Maju,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
203,-7.88119511,110.310839,Sentra Batik Kain (Erisa Batik),Guwosari,Pajangan,DPD - Pangeran Diponegoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
204,"-7,846,718",110.344213,Sentra Industri Kerajinan Gerabah Kasongan,Bangunjiwo,Kasihan,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
205,-7.851121,"110,358,429",Sentra Kerajinan Alat Peraga Edukasi,Timbulharjo,Sewon,DPD - Songgo Negoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
206,-7.909265,110.383074,Sentra Kerajinan Anggun Rotan,Wukirsari,Imogiri,DPD - Songgo Langit,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
207,-7.885292,110.425528,"Sentra Kerajinan Bambu 3, Dusun Sanan",Bawuran,Pleret,DPD - Songgo Langit,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
208,-7.809291,110.238856,Sentra Kerajinan Bambu Sangkar Burung ,Argosari,Sedayu,DPD - Pangeran Diponegoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
209,-7.905251,110.41063,Sentra Kerajinan Bambu Wukirsari,Wukirsari,Imogiri,DPD - Songgo Langit,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
210,-7.9171869,110.2832328,Sentra Kerajinan Batik Kain,Gilangharjo,Pandak,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
211,-7.915949,110.398409,Sentra Kerajinan Batik Kain,Wukirsari,Imogiri,DPD - Songgo Langit,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
212,-7.879597,110.39098,Sentra Kerajinan Batik Nitik di Trimulyo,Trimulyo,Jetis,DPD - Pancer Bumi,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
213,-7.89686179,110.296126,Sentra Kerajinan Batik Tulis Pijenan,Wijirejo,Pandak,DPD - Pangeran Diponegoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
214,-7.862150,110.317520,Sentra Kerajinan Blangkon & Surjan,Guwosari,Pajangan,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
215,-7.852243,110.298375,Sentra Kerajinan Blangkon & Surjan di Bangunjiwo,Bangunjiwo,Kasihan,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
216,-7.870489,110.370171,Sentra Kerajinan Fashion Batik : Soedrajad Batik dan Tanaya Batik,Timbulharjo,Sewon,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
217,-7.859812,110.356264,Sentra Kerajinan Gamelan Gamelan Center Karya Mandiri Wibowo,Panggungharjo,Sewon,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
218,-7.87322,110.371055,Sentra Kerajinan Gazebo dan Lincak,Timbulharjo,Sewon,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
219,-7.8726959,110.354241,Sentra Kerajinan Home Dekor (Reestea Shabbychic),Timbulharjo,Sewon,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
220,-7.854624,110.32732,Sentra Kerajinan Kipas Bambu,Bangunjiwo,Kasihan,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
221,-7.862490,110.318630,Sentra Kerajinan Kriya Keris/ Kerangka keris,Guwosari,Pajangan,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
222,-7.819746,110.240108,Sentra Kerajinan Kriya Logam Argosari,Argosari,Sedayu,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
223,-7.867627,110.348331,Sentra Kerajinan Kulit Ikan Pari (Pari Radja Stingray Leather),Timbulharjo,Sewon,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
224,-7.970206,110.27503,Sentra Kerajinan Kulit Leather Mulyo,Srimulyo,Piyungan,DPD - Songgo Langit,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
225,-7.830403,110.364719,Sentra Kerajinan Lurik LAWE Indonesia,Panggungharjo,Sewon,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
226,"-7,837,465","110,303,170",Sentra Kerajinan Pahat Batu Lemah Dadi,Bangunjiwo,Kasihan,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
227,-7.863438,110.316206,Sentra Kerajinan Patung Primitif/ Asmat ,Guwosari,Pajangan,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
228,-7.8273402,110.3970968,Sentra Kerajinan Perak Jagalan-Singosaren Banguntapan,Jagalan,Banguntapan,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
229,-7.84343,110.301775,Sentra Kerajinan Pisau Batik Logam,Bangunjiwo,Kasihan,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
230,-7.845269,110.410711,Sentra Kerajinan Potorono  Banguntapan,Potorono,Banguntapan,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
231,-7.905251,110.41063,Sentra Kerajinan Sutera Wukirsari,Wukirsari,Imogiri,DPD - Songgo Langit,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
232,-7.79891,110.345083,Sentra Kerajinan Tas Kulit dan Agel,Ngestiharjo,Kasihan,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
233,-7.892947,110.302552,Sentra Kerajinan Tempurung Kelapa,Guwosari,Pajangan,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
234,-7.872156,110.339582,Sentra Kerajinan Tempurung KelapaYanti Bathok Craft,Pendowoharjo,Sewon,DPD - Songgo Negoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
235,-7.862300,110.321000,Sentra Kerajinan Topeng,Guwosari,Pajangan,DPD - Pangeran Diponegoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
236,-7.839349,110.314541,Sentra Kerajinan Ukir Wayang Kulit,Bangunjiwo,Kasihan,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
237,-7.905018,110.411849,Sentra Kerajinan Wayang Kulit/Tatah Sungging,Wukirsari,Imogiri,DPD - Songgo Langit,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
238,-7.824463,110.40599,Sentra Kerajinan Widodo Cengkrem,Banguntapan,Banguntapan,DPD - Songgo Negoro,Wisata Potensial,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
239,-7.896103,110.3504723,Sentra Kulit Manding,Sabdodadi,Bantul,DPD - Pancer Bumi,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
240,-7.929728,110.392343,Sentra Pembuatan Keris/ Kerangka keris,Girirejo,Imogiri,DPD - Songgo Langit,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
241,-7.8313569,110.398959,Situs Cagar Budaya Jagang Cepuri Keraton Kotagede,Jagalan,Banguntapan,DPD - Songgo Negoro,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
242,-7.992134,110.272941,Situs Gunung Wingko,Gadingharjo,Sanden,DPD - Segoro Kidul,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
243,-7.815576,110.417673,Situs Mantup,Baturetno,Banguntapan,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
244,-7.833457,110.457808,Situs Payak,Sitimulyo,Piyungan,DPD - Songgo Langit,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
245,-7.826725,110.420539,Situs Watu Gilang Baturetno,Baturetno,Banguntapan,DPD - Songgo Negoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
246,-7.886343,110.329405,Stasiun Bantul,Bantul,Bantul,DPD - Pancer Bumi,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
247,-7.905416,110.318399,Stasiun Palbapang - Cagak Aniem Palbapang - Stoomwals,Palbapang,Bantul,DPD - Pancer Bumi,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
248,-8.020724,110.32494,Struktur Cagar Budaya Cepuri Parangkusumo dan Makam Syeh Maulana Maghribi,Parangtritis,Kretek,DPD - Segoro Kidul,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
249,-7.868504,110.405263,Sumur Gumuling Pleret,Pleret,Pleret,DPD - Songgo Langit,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
250,-7.87941,110.265044,Taman Bendungan Kamijoro,Triwidadi,Pajangan,DPD - Pangeran Diponegoro,Wisata Berkembang,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
251,-7.840221,110.4538,Taman Girli Srimulyo,Srimulyo,Piyungan,DPD - Songgo Langit,Wisata Berkembang,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
252,-7.879952,110.309874,Taman Jati Larangan,Guwosari,Pajangan,DPD - Pangeran Diponegoro,Wisata Maju,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
253,-7.865619,110.321952,Taman Puspagading,Bantul,Bantul,DPD - Pancer Bumi,Wisata Maju,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
254,-7.881873,110.33952,Taman Rekreasi Tirtotamansari,Trirenggo,Bantul,DPD - Pancer Bumi,Wisata Maju,Wisata Buatan,Wisata Buatan,Wisata Budaya Dan Edukasi,Bantul
255,-7.871514,110.397354,Umpak Kerto Lemah Dhuwur,Pleret,Pleret,DPD - Songgo Langit,Wisata Berkembang,Wisata Budaya,Wisata Budaya,Wisata Budaya Dan Edukasi,Bantul
127.5,,,,,,,,,,,
